Date,Time,Host,Result,Guest,Audience,MVP
31.10.2021,20:30,GKS Katowice,"0:3 (16:25, 17:25, 20:25)",Indykpol AZS Olsztyn,286,Karol Butryn
05.11.2021,20:30,LUK Lublin,"2:3 (25:21, 20:25, 21:25, 25:20, 12:15)",Indykpol AZS Olsztyn,2088,Torey Defalco
06.11.2021,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:1 (17:25, 25:15, 25:18, 25:19)",Asseco Resovia Rzeszów,1900,Marcin Janusz
06.11.2021,17:30,Cuprum Lubin,"3:1 (25:27, 25:20, 25:19, 25:19)",GKS Katowice,878,Wojciech Ferens
06.11.2021,20:30,Cerrad Enea Czarni Radom,"0:3 (21:25, 20:25, 19:25)",Aluron CMC Warta Zawiercie,1100,Facundo Conte
07.11.2021,14:45,Projekt Warszawa,"0:3 (17:25, 21:25, 23:25)",PGE Skra Bełchatów,1730,Dick Kooy
07.11.2021,17:30,Jastrzębski Węgiel,"3:0 (25:14, 25:22, 25:22)",Trefl Gdańsk,1500,Jurij Hładyr
07.11.2021,20:30,Stal Nysa,"1:3 (22:25, 25:17, 15:25, 21:25)",Ślepsk Malow Suwałki,1500,Bartłomiej Bołądź
12.11.2021,17:30,GKS Katowice,"3:1 (25:17, 18:25, 29:27, 25:21)",Cerrad Enea Czarni Radom,261,Jakub Szymański
13.11.2021,14:45,Asseco Resovia Rzeszów,"3:0 (25:21, 26:24, 25:19)",Projekt Warszawa,2500,Maciej Muzaj
13.11.2021,17:30,PGE Skra Bełchatów,"2:3 (25:16, 26:24, 22:25, 18:25, 12:15)",LUK Lublin,508,Wojciech Włodarczyk
13.11.2021,20:30,Aluron CMC Warta Zawiercie,"3:0 (25:20, 25:22, 25:22)",Stal Nysa,1453,Uroš Kovačević
14.11.2021,14:45,Trefl Gdańsk,"0:3 (23:25, 20:25, 14:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,6250,Marcin Janusz
14.11.2021,17:30,Ślepsk Malow Suwałki,"0:3 (22:25, 20:25, 19:25)",Jastrzębski Węgiel,1650,Trévor Clévenot
15.11.2021,17:30,Indykpol AZS Olsztyn,"3:0 (25:20, 25:21, 25:17)",Cuprum Lubin,1070,Torey Defalco
19.11.2021,20:30,Stal Nysa,"2:3 (22:25, 21:25, 25:20, 25:17, 10:15)",GKS Katowice,1250,Jakub Jarosz
20.11.2021,14:45,Jastrzębski Węgiel,"2:3 (18:25, 25:17, 25:27, 25:16, 13:15)",Aluron CMC Warta Zawiercie,1500,Facundo Conte
20.11.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:17, 25:22, 25:18)",Ślepsk Malow Suwałki,1050,Łukasz Kaczmarek
20.11.2021,20:30,Cerrad Enea Czarni Radom,"0:3 (23:25, 23:25, 23:25)",Indykpol AZS Olsztyn,700,Karol Butryn
21.11.2021,14:45,Projekt Warszawa,"3:0 (25:21, 25:20, 25:20)",Trefl Gdańsk,2089,Igor Grobelny
21.11.2021,17:30,LUK Lublin,"3:2 (19:25, 25:17, 25:17, 28:30, 19:17)",Cuprum Lubin,2522,Wojciech Włodarczyk
22.11.2021,20:30,PGE Skra Bełchatów,"3:2 (22:25, 20:25, 25:17, 25:19, 15:13)",Asseco Resovia Rzeszów,783,Aleksandar Atanasijević
26.11.2021,20:30,Ślepsk Malow Suwałki,"1:3 (18:25, 25:23, 22:25, 23:25)",Projekt Warszawa,980,Bartosz Kwolek
27.11.2021,14:45,Aluron CMC Warta Zawiercie,"0:3 (36:38, 13:25, 14:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1500,Łukasz Kaczmarek
27.11.2021,17:30,GKS Katowice,"0:3 (17:25, 20:25, 21:25)",Jastrzębski Węgiel,753,Jan Hadrava
27.11.2021,20:30,Asseco Resovia Rzeszów,"1:3 (21:25, 25:23, 22:25, 23:25)",LUK Lublin,1300,Jakub Wachnik
28.11.2021,14:45,Trefl Gdańsk,"0:3 (18:25, 13:25, 22:25)",PGE Skra Bełchatów,4800,Grzegorz Łomacz
28.11.2021,17:30,Indykpol AZS Olsztyn,"3:2 (25:23, 20:25, 20:25, 25:13, 15:13)",Stal Nysa,1050,Torey Defalco
29.11.2021,20:30,Cuprum Lubin,"2:3 (23:25, 25:19, 26:24, 23:25, 15:17)",Cerrad Enea Czarni Radom,312,Rafał Faryna
03.12.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:18, 25:23, 25:19)",GKS Katowice,550,Aleksander Śliwka
04.12.2021,14:45,Indykpol AZS Olsztyn,"0:3 (21:25, 18:25, 20:25)",Jastrzębski Węgiel,1250,Jan Hadrava
04.12.2021,17:30,PGE Skra Bełchatów,"3:0 (25:22, 25:22, 25:22)",Ślepsk Malow Suwałki,601,Aleksandar Atanasijević
05.12.2021,14:45,Asseco Resovia Rzeszów,"0:3 (21:25, 20:25, 21:25)",Trefl Gdańsk,1500,Mateusz Mika
05.12.2021,17:30,LUK Lublin,"3:1 (25:13, 22:25, 25:18, 25:14)",Cerrad Enea Czarni Radom,2808,Jan Nowakowski
05.12.2021,20:30,Stal Nysa,"1:3 (23:25, 35:33, 17:25, 19:25)",Cuprum Lubin,1000,Wojciech Ferens
06.12.2021,20:30,Projekt Warszawa,"3:1 (31:33,  25:23, 25:19, 26:24)",Aluron CMC Warta Zawiercie,1685,Igor Grobelny
10.12.2021,20:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:23, 25:20, 25:16)",Indykpol AZS Olsztyn,650,Marcin Janusz
11.12.2021,14:45,Cuprum Lubin,"0:3 (28:30, 18:25, 17:25)",Jastrzębski Węgiel,818,Jakub Popiwczak
11.12.2021,20:30,Cerrad Enea Czarni Radom,"3:1 (25:18, 21:25, 25:23, 25:21)",Stal Nysa,800,Mateusz Masłowski
12.12.2021,14:45,GKS Katowice,"2:3 (25:21, 22:25, 25:20, 18:25, 9:15)",Projekt Warszawa,476,Michał Superlak
12.12.2021,17:30,Ślepsk Malow Suwałki,"0:3 (21:25, 18:25, 22:25)",Asseco Resovia Rzeszów,1200,Klemen Čebulj
12.12.2021,20:30,Trefl Gdańsk,"3:0 (25:20, 25:22, 25:16)",LUK Lublin,1550,Mariusz Wlazły
13.12.2021,17:30,Aluron CMC Warta Zawiercie,"3:2 (25:21, 10:25, 25:18, 23:25, 26:24)",PGE Skra Bełchatów,1463,Dawid Konarski
17.12.2021,20:30,PGE Skra Bełchatów,"3:1 (25:22, 19:25, 25:20, 25:16)",GKS Katowice,440,Mateusz Bieniek
18.12.2021,14:45,Asseco Resovia Rzeszów,"1:3 (15:25, 20:25, 25:18, 22:25)",Aluron CMC Warta Zawiercie,1500,Miguel Tavares
18.12.2021,20:30,Jastrzębski Węgiel,"3:0 (25:18, 25:9, 25:22)",Cerrad Enea Czarni Radom,715,Tomasz Fornal
19.12.2021,14:45,Projekt Warszawa,"3:2 (21:25, 25:14, 23:25, 25:14, 15:8)",Indykpol AZS Olsztyn,986,Bartosz Kwolek
19.12.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:1 (25:23, 22:25, 25:18, 25:19)",Cuprum Lubin,850,Kamil Semeniuk
19.12.2021,20:30,Trefl Gdańsk,"1:3 (26:28, 19:25, 25:20, 25:27)",Ślepsk Malow Suwałki,1640,Paweł Halaba
20.12.2021,20:30,LUK Lublin,"0:3 (30:32, 22:25, 22:25)",Stal Nysa,2033,Wassim Ben Tara
13.11.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (28:26, 25:22, 25:22)",Jastrzębski Węgiel,2100,Norbert Huber
13.11.2021,20:30,Stal Nysa,"1:3 (25:23, 23:25, 23:25, 19:25)",Projekt Warszawa,1500,Andrzej Wrona
29.12.2021,17:30,LUK Lublin,"1:3 (23:25, 22:25, 25:17, 21:25)",Aluron CMC Warta Zawiercie,2096,Facundo Conte
30.12.2021,17:30,Cuprum Lubin,"1:3 (20:25, 25:23, 27:29, 23:25)",Asseco Resovia Rzeszów,927,Sam Deroo
30.12.2021,20:30,Cerrad Enea Czarni Radom,"0:3 (20:25, 19:25, 22:25)",PGE Skra Bełchatów,1500,Mateusz Bieniek
25.02.2022,20:30,GKS Katowice,"2:3 (18:25, 25:18, 20:25, 25:22, 16:18)",Ślepsk Malow Suwałki,315,Bartłomiej Bołądź
16.03.2022,17:30,Indykpol AZS Olsztyn,"3:1 (23:25, 25:22, 25:22, 25:20)",Trefl Gdańsk,1200,Torey Defalco
03.01.2022,17:30,Projekt Warszawa,"2:3 (28:26, 25:19, 17:25, 24:26, 13:15)",Cerrad Enea Czarni Radom,628,Paweł Rusin
03.01.2022,20:30,Jastrzębski Węgiel,"3:0 (25:15, 25:21, 25:22)",LUK Lublin,783,Jan Hadrava
04.01.2022,17:30,PGE Skra Bełchatów,"3:1 (25:22, 23:25, 25:22, 25:20)",Cuprum Lubin,246,Mateusz Bieniek
04.01.2022,20:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:20, 25:15, 25:23)",Stal Nysa,950,Aleksander Śliwka
05.01.2022,17:30,Asseco Resovia Rzeszów,"3:0 (31:29, 25:22, 25:14)",Indykpol AZS Olsztyn,1500,Paweł Zatorski
05.01.2022,20:30,Trefl Gdańsk,"1:3 (23:25, 25:23, 13:25, 24:26)",GKS Katowice,2200,Tomas Rousseaux
06.01.2022,17:30,Ślepsk Malow Suwałki,"0:3 (21:25, 23:25, 20:25)",Aluron CMC Warta Zawiercie,1380,Dawid Konarski
08.01.2022,14:45,Indykpol AZS Olsztyn,"1:3 (23:25, 25:21, 26:28, 26:28)",PGE Skra Bełchatów,1200,Milad Ebadipur
08.01.2022,20:30,Stal Nysa,"0:3 (18:25, 16:25, 22:25)",Jastrzębski Węgiel,1093,Tomasz Fornal
09.01.2022,17:30,Asseco Resovia Rzeszów,"3:1 (21:25, 25:18, 33:31, 25:22)",GKS Katowice,1550,Maciej Muzaj
09.01.2022,20:30,Aluron CMC Warta Zawiercie,"3:0 (25:19, 25:16, 25:22)",Trefl Gdańsk,1347,Miguel Tavares
10.01.2022,20:30,LUK Lublin,"3:1 (25:16, 18:25, 25:22, 25:21)",Ślepsk Malow Suwałki,1506,Grzegorz Pająk
02.03.2022,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"1:3 (25:18, 22:25, 23:25, 19:25)",Cerrad Enea Czarni Radom,410,Paweł Rusin
02.03.2022,20:30,Cuprum Lubin,"1:3 (23:25, 25:19, 23:25, 20:25)",Projekt Warszawa,258,Andrzej Wrona
14.01.2022,20:30,Cuprum Lubin,"3:1 (18:25, 25:20, 25:22, 25:21)",Trefl Gdańsk,565,Marcin Waliński
15.01.2022,14:45,Indykpol AZS Olsztyn,"3:2 (25:23, 23:25, 25:23, 25:27, 15:12)",Ślepsk Malow Suwałki,1010,Karol Butryn
15.01.2022,17:30,Stal Nysa,"1:3 (18:25, 18:25, 25:19, 22:25)",PGE Skra Bełchatów,1400,Mateusz Bieniek
15.01.2022,20:30,LUK Lublin,"1:3 (18:25, 25:22, 22:25, 25:27)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,3667,Łukasz Kaczmarek
16.01.2022,17:30,GKS Katowice,"3:0 (28:26, 31:29, 25:21)",Aluron CMC Warta Zawiercie,790,Tomas Rousseaux
09.03.2022,17:30,Cerrad Enea Czarni Radom,"0:3 (21:25, 28:30, 16:25)",Asseco Resovia Rzeszów,1000,Nicolas Szerszeń
23.03.2022,17:30,Jastrzębski Węgiel,"3:1 (21:25, 25:21, 25:20, 25:17)",Projekt Warszawa,1084,Tomasz Fornal
22.01.2022,14:45,PGE Skra Bełchatów,"2:3 (25:23, 20:25, 23:25, 26:24, 10:15)",Jastrzębski Węgiel,945,Jan Hadrava
22.01.2022,17:30,Projekt Warszawa,"1:3 (25:22, 15:25, 22:25, 19:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,2210,Norbert Huber
22.01.2022,20:30,Asseco Resovia Rzeszów,"3:2 (23:25, 25:17, 18:25, 25:15, 15:13)",PSG Stal Nysa,1000,Jakub Kochanowski
23.01.2022,14:45,Aluron CMC Warta Zawiercie,"3:2 (25:19, 21:25, 25:20, 17:25, 16:14)",Indykpol AZS Olsztyn,1443,Dawid Konarski
23.01.2022,17:30,Ślepsk Malow Suwałki,"3:1 (25:18, 25:20, 18:25, 25:18)",Cuprum Lubin,1100,Bartłomiej Bołądź
24.01.2022,17:30,GKS Katowice,"3:1 (25:20, 25:17, 23:25, 27:25)",LUK Lublin,350,Tomas Rousseaux
24.01.2022,20:30,Trefl Gdańsk,"3:0 (25:13, 25:23, 25:17)",Cerrad Enea Czarni Radom,500,Karol Urbanowicz
16.01.2022,14:45,Jastrzębski Węgiel,"3:1 (26:24, 25:23, 20:25, 25:19)",Asseco Resovia Rzeszów,900,Trévor Clévenot
27.01.2022,17:30,Cuprum Lubin,"2:3 (20:25, 21:25, 25:22, 26:24, 11:15)",Aluron CMC Warta Zawiercie,420,Uroš Kovačević
28.01.2022,17:30,Cerrad Enea Czarni Radom,"0:3 (20:25, 24:26, 16:25)",Ślepsk Malow Suwałki,3500,Paweł Halaba
28.01.2022,20:30,PSG Stal Nysa,"0:3 (23:25, 23:25, 22:25)",Trefl Gdańsk,1100,Karol Urbanowicz
29.01.2022,14:45,LUK Lublin,"3:0 (25:23, 26:24, 25:12)",Projekt Warszawa,2073,Grzegorz Pająk
30.01.2022,14:45,Indykpol AZS Olsztyn,"3:2 (26:24, 26:28, 16:25, 25:17, 15:12)",GKS Katowice,920,Jan Firlej
15.03.2022,20:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"1:3 (23:25, 27:29, 25:19, 25:27)",PGE Skra Bełchatów,880,Aleksandar Atanasijević
05.02.2022,17:30,PGE Skra Bełchatów,"3:1 (25:21, 15:25, 25:23, 25:20)",Projekt Warszawa,896,Grzegorz Łomacz
05.02.2022,20:30,Ślepsk Malow Suwałki,"2:3 (25:18, 25:23, 18:25, 22:25, 10:15)",PSG Stal Nysa,1150,Wassim Ben Tara
06.02.2022,17:30,Aluron CMC Warta Zawiercie,"0:3 (22:25, 16:25, 21:25)",Cerrad Enea Czarni Radom,1250,Paweł Rusin
06.02.2022,20:30,GKS Katowice,"3:2 (18:25, 25:17, 25:23, 19:25, 15:12)",Cuprum Lubin,375,Gonzalo Quiroga
07.02.2022,17:30,Indykpol AZS Olsztyn,"3:0 (25:20, 25:14, 25:17)",LUK Lublin,810,Jan Firlej
22.03.2022,17:30,Asseco Resovia Rzeszów,"2:3 (27:25, 25:20, 16:25, 23:25, 13:15)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1900,Kamil Semeniuk
09.04.2022,14:45,Trefl Gdańsk,"2:3 (25:23,  25:23, 22:25, 20:25, 21:23)",Jastrzębski Węgiel,3900,Rafał Szymura
11.02.2022,20:30,LUK Lublin,"0:3 (17:25, 19:25, 18:25)",PGE Skra Bełchatów,3513,Dick Kooy
12.02.2022,15:30,Projekt Warszawa,"1:3 (25:21, 21:25, 15:25, 18:25)",Asseco Resovia Rzeszów,1360,Sam Deroo
12.02.2022,18:00,Cuprum Lubin,"0:3 (18:25, 16:25, 16:25)",Indykpol AZS Olsztyn,559,Jan Firlej
12.02.2022,20:30,PSG Stal Nysa,"1:3 (22:25, 25:22, 22:25, 19:25)",Aluron CMC Warta Zawiercie,1500,Dawid Konarski
13.02.2022,14:45,Jastrzębski Węgiel,"3:0 (25:21, 25:19, 25:20)",Ślepsk Malow Suwałki,850,Tomasz Fornal
14.02.2022,20:30,Cerrad Enea Czarni Radom,"0:3 (15:25, 24:26, 16:25)",GKS Katowice,1200,Jakub Jarosz
11.04.2022,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"2:3 (25:22, 25:21, 20:25, 16:25, 12:15)",Trefl Gdańsk,800,Bartłomiej Lipiński
18.02.2022,20:30,Cuprum Lubin,"3:2 (25:20, 21:25, 22:25, 25:20, 15:12)",LUK Lublin,376,Marcin Waliński
19.02.2022,14:45,Asseco Resovia Rzeszów,"2:3 (21:25, 25:21, 19:25, 25:18, 12:15)",PGE Skra Bełchatów,2700,Robert Täht
19.02.2022,17:30,Aluron CMC Warta Zawiercie,"1:3 (25:16, 18:25, 18:25, 17:25)",Jastrzębski Węgiel,1453,Trévor Clévenot
19.02.2022,20:30,GKS Katowice,"3:1 (13:25, 25:20, 29:27, 25:20)",PSG Stal Nysa,410,Micah Maʻa
20.02.2022,14:45,Ślepsk Malow Suwałki,"0:3 (22:25, 21:25, 21:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1750,Łukasz Kaczmarek
20.02.2022,17:30,Trefl Gdańsk,"3:0 (25:16, 25:22, 25:23)",Projekt Warszawa,3850,Bartłomiej Mordyl
21.02.2022,17:30,Indykpol AZS Olsztyn,"3:0 (25:22, 25:23, 25:16)",Cerrad Enea Czarni Radom,1200,Jan Firlej
04.03.2022,20:30,LUK Lublin,"1:3 (18:25, 23:25, 26:24, 15:25)",Asseco Resovia Rzeszów,3580,Maciej Muzaj
05.03.2022,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (26:24, 35:33, 27:25)",Aluron CMC Warta Zawiercie,1220,Marcin Janusz
05.03.2022,17:30,Projekt Warszawa,"3:1 (25:21, 25:21, 20:25, 25:23)",Ślepsk Malow Suwałki,299,Dušan Petković
05.03.2022,20:30,Jastrzębski Węgiel,"3:2 (25:23, 25:18, 22:25, 32:34, 15:12)",GKS Katowice,987,Tomasz Fornal
06.03.2022,14:45,PGE Skra Bełchatów,"3:2 (25:20, 25:20, 23:25, 21:25, 15:11)",Trefl Gdańsk,1656,Damian Schulz
06.03.2022,17:30,Cerrad Enea Czarni Radom,"2:3 (25:18, 25:21, 19:25, 22:25, 13:15)",Cuprum Lubin,1500,Remigiusz Kapica
07.03.2022,17:30,PSG Stal Nysa,"3:1 (23:25, 25:21, 25:21, 25:16)",Indykpol AZS Olsztyn,1200,Zouheir El Graoui
06.02.2022,14:45,Trefl Gdańsk,"3:2 (20:25, 25:19, 25:19, 18:25, 15:13)",Asseco Resovia Rzeszów,3450,Lukas Kampa
11.03.2022,17:30,Ślepsk Malow Suwałki,"0:3 (17:25, 22:25, 19:25)",PGE Skra Bełchatów,1318,Grzegorz Łomacz
12.03.2022,14:45,Jastrzębski Węgiel,"3:1 (25:21, 22:25, 25:20, 25:23)",Indykpol AZS Olsztyn,1511,Jan Hadrava
12.03.2022,17:30,GKS Katowice,"0:3 (18:25, 17:25, 20:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1120,Marcin Janusz
12.03.2022,20:30,Cuprum Lubin,"3:0 (27:25, 25:20, 25:23)",PSG Stal Nysa,232,Grzegorz Bociek
13.03.2022,14:45,Aluron CMC Warta Zawiercie,"3:1 (25:21, 22:25, 27:25, 25:22)",Projekt Warszawa,1429,Uroš Kovačević
13.03.2022,17:30,Cerrad Enea Czarni Radom,"1:3 (14:25, 25:20, 22:25, 18:25)",LUK Lublin,1200,Grzegorz Pająk
18.03.2022,17:30,Projekt Warszawa,"0:3 (22:25, 23:25, 21:25)",GKS Katowice,299,Jakub Jarosz
18.03.2022,20:30,Asseco Resovia Rzeszów,"1:3 (23:25, 27:25, 25:27, 27:29)",Ślepsk Malow Suwałki,1250,Paweł Halaba
19.03.2022,14:45,PGE Skra Bełchatów,"3:2 (25:23, 20:25, 25:21, 23:25, 15:10)",Aluron CMC Warta Zawiercie,643,Grzegorz Łomacz
19.03.2022,17:30,LUK Lublin,"1:3 (25:19, 23:25, 20:25, 23:25)",Trefl Gdańsk,2569,Bartłomiej Lipiński
19.03.2022,20:30,PSG Stal Nysa,"3:1 (28:26, 23:25, 25:12, 25:13)",Cerrad Enea Czarni Radom,1100,Marcin Komenda
20.03.2022,14:45,Indykpol AZS Olsztyn,"0:3 (28:30, 18:25, 20:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1200,Norbert Huber
20.03.2022,20:30,Jastrzębski Węgiel,"3:1 (25:22, 18:25, 25:19, 25:21)",Cuprum Lubin,712,Stéphen Boyer
25.03.2022,17:30,Ślepsk Malow Suwałki,"2:3 (25:20, 15:25, 25:20, 20:25, 12:15)",Trefl Gdańsk,1215,Bartłomiej Lipiński
25.03.2022,20:30,GKS Katowice,"1:3 (25:21, 19:25, 21:25, 19:25)",PGE Skra Bełchatów,770,Grzegorz Łomacz
26.03.2022,20:30,Cuprum Lubin,"3:2 (25:22, 19:25, 22:25, 27:25, 15:11)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1216,Marcin Waliński
27.03.2022,18:00,Aluron CMC Warta Zawiercie,"1:3 (25:23, 20:25, 23:25, 23:25)",Asseco Resovia Rzeszów,1481,Maciej Muzaj
27.03.2022,20:30,Cerrad Enea Czarni Radom,"0:3 (20:25, 14:25, 16:25)",Jastrzębski Węgiel,2000,Jan Hadrava
28.03.2022,17:30,Indykpol AZS Olsztyn,"3:0 (25:19, 25:21, 25:20)",Projekt Warszawa,950,Jan Firlej
28.03.2022,20:30,PSG Stal Nysa,"3:0 (25:18, 25:21, 30:28)",LUK Lublin,1200,Marcin Komenda
01.04.2022,17:30,Ślepsk Malow Suwałki,"2:3 (21:25, 27:25, 18:25, 25:21, 17:19)",GKS Katowice,1025,Micah Maʻa
01.04.2022,20:30,Projekt Warszawa,"2:3 (20:25, 20:25, 25:23, 25:20, 12:15)",PSG Stal Nysa,299,Marcin Komenda
02.04.2022,14:45,PGE Skra Bełchatów,"3:2 (25:23, 21:25, 19:25, 25:23, 15:10)",Cerrad Enea Czarni Radom,824,Robert Täht
02.04.2022,17:30,Aluron CMC Warta Zawiercie,"3:1 (25:22, 25:18, 22:25, 25:21)",LUK Lublin,1475,Facundo Conte
02.04.2022,20:30,Asseco Resovia Rzeszów,"3:0 (25:19, 25:14, 25:20)",Cuprum Lubin,1200,Sam Deroo
03.04.2022,14:45,Jastrzębski Węgiel,"0:3 (20:25, 16:25, 15:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,2987,Łukasz Kaczmarek
03.04.2022,17:30,Trefl Gdańsk,"3:0 (25:20, 25:20, 25:20)",Indykpol AZS Olsztyn,3800,Łukasz Kozub
